#,TCGA ID,,,
94,TCGA-HZ-7289-01A-11D-2157-05,,,
95,TCGA-HZ-7918-01A-11D-2157-05,,,
96,TCGA-HZ-7919-01A-11D-2157-05,,,
97,TCGA-HZ-7920-01A-11D-2202-05,,,
98,TCGA-HZ-7922-01A-11D-2157-05,,,
99,TCGA-HZ-7923-01A-12D-2157-05,,,
100,TCGA-HZ-7924-01A-11D-2157-05,,,
101,TCGA-HZ-7925-01A-11D-2157-05,,,
102,TCGA-HZ-7926-01A-11D-2157-05,,,
103,TCGA-HZ-8001-01A-11D-2202-05,,,
104,TCGA-HZ-8002-01A-11D-2202-05,,,
105,TCGA-HZ-8003-01A-21D-2202-05,,,
106,TCGA-HZ-8005-01A-11D-2202-05,,,
107,TCGA-HZ-8315-01A-11D-2399-05,,,
108,TCGA-HZ-8317-01A-11D-2399-05,,,
109,TCGA-HZ-8519-01A-11D-2399-05,,,
110,TCGA-HZ-8636-01A-21D-2399-05,,,
111,TCGA-HZ-8637-01A-11D-2399-05,,,
112,TCGA-HZ-8638-01A-11D-2399-05,,,
113,TCGA-HZ-A49G-01A-11D-A26Q-05,,,
114,TCGA-HZ-A49H-01A-11D-A26Q-05,,,
115,TCGA-HZ-A49I-01A-12D-A26Q-05,,,
116,TCGA-HZ-A4BH-01A-11D-A26Q-05,,,
117,TCGA-HZ-A4BK-01A-11D-A26Q-05,,,
118,TCGA-HZ-A77O-01A-11D-A33U-05,,,
119,TCGA-HZ-A77P-01A-11D-A33U-05,,,
120,TCGA-HZ-A77Q-01A-11D-A368-05,,,
121,TCGA-HZ-A8P0-01A-11D-A368-05,,,
122,TCGA-HZ-A8P1-01A-11D-A378-05,,,
123,TCGA-HZ-A9TJ-01A-11D-A40Y-05,,,
124,TCGA-HZ-A9TJ-06A-11D-A40Y-05,,,
125,TCGA-IB-7644-01A-11D-2157-05,,,
126,TCGA-IB-7645-01A-22D-2202-05,,,
127,TCGA-IB-7646-01A-11D-2157-05,,,
128,TCGA-IB-7647-01A-11D-2157-05,,,
129,TCGA-IB-7649-01A-11D-2157-05,,,
130,TCGA-IB-7651-01A-11D-2157-05,,,
131,TCGA-IB-7652-01A-11D-2157-05,,,
132,TCGA-IB-7654-01A-11D-2157-05,,,
133,TCGA-IB-7885-01A-11D-2157-05,,,
134,TCGA-IB-7886-01A-11D-2157-05,,,
135,TCGA-IB-7887-01A-11D-2157-05,,,
136,TCGA-IB-7888-01A-11D-2157-05,,,
